Date,Open,High,Low,Close,Volume
2023-10-05,1401.8,1420.0,1391.85,1408.0,28442
2023-10-06,1408.0,1425.0,1404.45,1418.75,29827
2023-10-09,1410.0,1410.9,1362.0,1372.25,43161
2023-10-10,1372.25,1412.85,1372.25,1405.55,25499
2023-10-11,1414.0,1414.0,1362.0,1367.8,103007
2023-10-12,1379.9,1388.8,1342.0,1380.3,111000
2023-10-13,1388.0,1390.0,1370.0,1372.35,16929
2023-10-16,1381.9,1387.75,1357.9,1370.05,31644
2023-10-17,1370.05,1387.0,1360.0,1379.55,19110
2023-10-18,1379.55,1399.0,1371.1,1380.1,31218
2023-10-19,1380.0,1401.35,1365.75,1379.95,49973
2023-10-20,1389.0,1398.0,1376.15,1383.35,28763
2023-10-23,1389.5,1389.5,1298.0,1304.1,87585
2023-10-25,1250.1,1350.0,1250.1,1343.35,104592
2023-10-26,1340.0,1367.95,1276.0,1356.65,109922
2023-10-27,1356.65,1379.0,1332.25,1375.4,78569
2023-10-30,1379.75,1398.3,1360.55,1386.2,21796
2023-10-31,1390.25,1415.0,1379.05,1405.8,102837
2023-11-01,1411.0,1424.9,1382.45,1401.4,30581
2023-11-02,1391.05,1467.0,1391.05,1454.7,119204
2023-11-03,1459.15,1475.0,1444.15,1462.45,125977
2023-11-06,1439.95,1439.95,1365.25,1372.4,179616
2023-11-07,1375.0,1421.2,1362.85,1409.75,134025
2023-11-08,1411.3,1454.0,1411.3,1432.0,110024
2023-11-09,1432.0,1555.0,1432.0,1469.0,759170
2023-11-10,1479.9,1494.0,1435.0,1440.2,71685
2023-11-12,1450.0,1453.15,1434.95,1448.3,7661
2023-11-13,1448.3,1469.95,1415.0,1420.35,56762
2023-11-15,1434.2,1506.0,1429.05,1483.05,135928
2023-11-16,1491.5,1528.0,1453.0,1518.4,113458
2023-11-17,1509.9,1550.0,1493.25,1540.0,106301
2023-11-20,1535.0,1581.0,1531.0,1554.35,74892
2023-11-21,1567.75,1567.75,1511.0,1519.0,37412
2023-11-22,1522.45,1536.0,1503.05,1515.25,37968
2023-11-23,1528.55,1544.0,1504.0,1509.55,36064
2023-11-24,1522.85,1539.0,1508.0,1530.45,36432
2023-11-28,1530.45,1567.95,1485.0,1494.9,103777
2023-11-29,1508.0,1537.15,1491.3,1514.15,52440
2023-11-30,1513.45,1537.85,1504.35,1525.65,58967
2023-12-01,1538.6,1608.0,1530.0,1592.8,159007
2023-12-04,1610.0,1637.7,1570.45,1614.6,190040
2023-12-05,1620.0,1649.7,1615.05,1636.3,129885
2023-12-06,1632.0,1665.0,1611.05,1653.05,82529
2023-12-07,1655.3,1674.0,1623.9,1666.75,58503
2023-12-08,1677.0,1677.0,1557.0,1582.65,97255
2023-12-11,1600.0,1605.9,1560.6,1574.25,91482
2023-12-12,1576.0,1607.4,1561.75,1597.8,56199
2023-12-13,1611.0,1614.7,1578.05,1603.4,56334
2023-12-14,1610.0,1615.95,1570.6,1577.4,35556
2023-12-15,1588.65,1588.65,1522.2,1558.0,99006
2023-12-18,1558.0,1558.0,1512.2,1518.2,39133
2023-12-19,1540.0,1540.0,1500.0,1505.7,37569
2023-12-20,1505.7,1518.9,1455.0,1477.05,51519
2023-12-21,1456.3,1479.5,1440.0,1458.75,48710
2023-12-22,1468.9,1483.75,1448.25,1459.6,45876
2023-12-26,1450.0,1463.5,1437.1,1442.55,141930
2023-12-27,1451.9,1550.0,1444.4,1522.75,421378
2023-12-28,1522.75,1539.35,1478.0,1502.6,78959
2023-12-29,1502.55,1503.4,1475.05,1489.9,43103
2024-01-01,1490.0,1503.0,1463.0,1469.65,34960
2024-01-02,1470.0,1478.45,1435.0,1438.65,53891
2024-01-03,1460.0,1469.2,1435.3,1445.2,35398
2024-01-04,1450.0,1457.45,1430.0,1434.9,41678
2024-01-05,1440.2,1492.0,1435.1,1487.0,154702
2024-01-08,1487.0,1547.8,1472.0,1520.15,124221
2024-01-09,1530.0,1534.0,1497.65,1508.6,162695
2024-01-10,1522.25,1522.4,1459.0,1466.5,46098
2024-01-11,1466.6,1493.75,1457.85,1464.0,36737
2024-01-12,1463.0,1484.0,1457.05,1462.45,21655
2024-01-15,1475.4,1475.4,1450.0,1453.05,20859
2024-01-16,1454.95,1477.5,1450.05,1465.1,15707
2024-01-17,1458.0,1463.2,1446.05,1453.6,17515
2024-01-18,1445.5,1460.65,1420.0,1451.25,18056
2024-01-19,1457.0,1464.05,1445.0,1453.85,11594
2024-01-20,1466.65,1466.65,1445.0,1445.7,6264
2024-01-23,1448.65,1457.55,1403.0,1421.4,30337
2024-01-24,1419.0,1461.0,1388.0,1450.7,53399
2024-01-25,1448.9,1449.55,1420.0,1424.9,16716
2024-01-29,1420.0,1424.9,1388.0,1396.4,72078
2024-01-30,1396.4,1418.9,1380.0,1390.55,96509
2024-01-31,1390.55,1474.7,1361.0,1456.65,343906
2024-02-01,1456.0,1510.0,1455.95,1480.2,112971
2024-02-02,1487.0,1532.0,1474.5,1520.1,115914
