Date,Open,High,Low,Close,Volume
2023-10-05,121.8,123.5,121.8,123.0,13906951
2023-10-06,123.8,125.15,122.55,124.6,12431715
2023-10-09,122.4,122.9,120.9,121.8,11378558
2023-10-10,122.0,123.4,121.85,122.9,9862213
2023-10-11,123.25,124.7,123.05,123.55,13202599
2023-10-12,123.55,130.4,123.55,129.35,44500591
2023-10-13,128.9,132.15,128.0,128.25,32376316
2023-10-16,128.4,130.85,128.2,129.95,22411704
2023-10-17,130.2,132.45,130.2,131.4,29711623
2023-10-18,131.45,132.45,130.05,131.0,22761267
2023-10-19,130.0,131.05,129.0,129.3,12766650
2023-10-20,129.0,129.3,123.25,125.05,23340295
2023-10-23,125.0,125.4,119.8,120.8,17027808
2023-10-25,121.55,121.8,117.95,119.7,9531434
2023-10-26,118.0,119.25,116.85,118.5,13170505
2023-10-27,119.3,120.3,118.0,118.25,9937564
2023-10-30,118.75,119.75,116.95,118.7,7895004
2023-10-31,119.05,121.4,116.15,119.5,33212394
2023-11-01,120.4,121.45,117.4,117.6,15959172
2023-11-02,119.1,122.3,118.75,122.05,17644988
2023-11-03,122.7,124.2,122.1,123.75,12062935
2023-11-06,124.7,125.0,123.05,123.4,6377850
2023-11-07,123.65,125.8,122.9,125.05,7013652
2023-11-08,125.75,125.85,124.0,124.65,7605770
2023-11-09,125.0,125.0,123.3,124.15,7332564
2023-11-10,123.9,125.9,123.2,125.6,6880677
2023-11-12,126.0,126.75,125.75,126.4,1638425
2023-11-13,126.5,127.3,125.35,126.05,5965121
2023-11-15,127.3,129.05,126.55,126.85,14489745
2023-11-16,126.9,127.8,126.05,126.4,6392633
2023-11-17,125.45,127.15,124.8,126.25,9122291
2023-11-20,125.65,126.45,124.15,124.55,5930799
2023-11-21,124.6,125.4,124.15,124.95,5289551
2023-11-22,125.05,125.45,122.9,123.8,7738964
2023-11-23,124.05,125.9,123.7,124.95,7039867
2023-11-24,125.1,125.7,123.9,124.5,7037545
2023-11-28,124.55,126.45,123.65,125.3,19955790
2023-11-29,125.2,127.0,125.2,125.9,17797816
2023-11-30,125.85,134.2,125.3,131.9,82083861
2023-12-01,134.0,137.35,132.35,136.05,53660727
2023-12-04,139.0,145.1,138.0,141.9,66257632
2023-12-05,142.85,143.4,139.5,140.35,25099887
2023-12-06,141.15,142.6,138.8,140.6,18752200
2023-12-07,140.6,143.7,140.05,142.05,18456707
2023-12-08,142.85,144.8,137.35,140.35,18995777
2023-12-11,140.05,143.1,139.75,141.05,11044633
2023-12-12,141.05,141.6,138.0,138.75,9881478
2023-12-13,139.05,142.0,138.5,141.05,17529522
2023-12-14,142.0,147.4,141.65,145.55,38595458
2023-12-15,147.0,149.15,145.0,145.85,28383880
2023-12-18,146.0,147.5,144.5,145.05,10775891
2023-12-19,146.1,146.85,142.85,144.4,16040169
2023-12-20,145.5,148.0,136.45,137.75,24177947
2023-12-21,135.15,141.0,134.85,140.7,16747435
2023-12-22,142.0,153.15,141.1,151.5,84784192
2023-12-26,152.45,157.7,151.4,154.0,44403657
2023-12-27,154.95,155.4,150.75,151.85,15311946
2023-12-28,152.45,158.85,151.65,157.1,37181228
2023-12-29,159.75,164.3,158.05,162.1,57370272
2024-01-01,163.7,169.35,162.65,166.2,40952729
2024-01-02,167.1,167.6,158.1,164.05,40801901
2024-01-03,164.0,164.4,160.75,162.15,22338899
2024-01-04,162.3,165.7,162.25,163.15,16795469
2024-01-05,166.0,167.1,161.9,163.65,36182162
2024-01-08,165.35,165.35,160.3,160.7,16705187
2024-01-09,161.9,162.75,159.7,161.05,21668343
2024-01-10,160.9,161.4,157.7,160.0,21435177
2024-01-11,159.8,161.1,155.85,159.05,37761286
2024-01-12,160.8,164.85,159.4,162.4,31798366
2024-01-15,163.7,166.8,161.5,165.2,26896883
2024-01-16,165.35,168.2,162.85,166.9,33401828
2024-01-17,165.5,169.0,163.6,164.1,31113706
2024-01-18,164.1,165.15,157.75,163.55,20299367
2024-01-19,165.05,169.2,164.4,168.3,21251240
2024-01-20,170.25,171.8,165.5,166.45,26069183
